日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
206,2014-08-17,35,29,43,8,44,18,44,优,-
207,2014-08-16,54,40,61,10,33,16,61,良,O3
208,2014-08-15,46,47,43,13,57,20,57,良,NO2
209,2014-08-14,39,34,47,10,42,20,47,优,-
210,2014-08-13,59,52,70,10,27,16,70,良,O3
211,2014-08-12,53,52,50,13,55,18,55,良,NO2
212,2014-08-11,46,41,70,12,35,16,70,良,O3
213,2014-08-10,78,58,50,17,52,27,78,良,PM2.5
214,2014-08-09,43,36,22,8,50,15,50,优,-
215,2014-08-08,35,37,21,10,29,13,37,优,-
216,2014-08-07,29,34,40,10,23,13,40,优,-
217,2014-08-06,42,44,85,11,29,16,85,良,O3
218,2014-08-05,55,47,97,10,30,16,97,良,O3
219,2014-08-04,98,70,161,15,49,22,161,中度污染,O3
220,2014-08-03,78,62,106,16,40,23,106,轻度污染,O3
221,2014-08-02,29,30,30,10,32,16,32,优,-
222,2014-08-01,19,22,30,8,20,11,30,优,-
223,2014-07-31,20,29,25,9,18,11,29,优,-
224,2014-07-30,33,37,37,9,19,12,37,优,-
225,2014-07-29,62,47,86,11,33,15,86,良,O3
226,2014-07-28,77,58,118,15,52,23,118,轻度污染,O3
227,2014-07-27,67,47,43,12,43,16,67,良,PM2.5
228,2014-07-26,125,73,70,16,48,23,125,轻度污染,PM2.5
229,2014-07-25,58,57,54,12,39,18,58,良,PM2.5
230,2014-07-24,29,48,36,6,15,11,48,优,-
231,2014-07-23,25,44,33,6,18,12,44,优,-
232,2014-07-22,25,35,66,9,23,12,66,良,O3
233,2014-07-21,29,30,63,8,24,11,63,良,O3
234,2014-07-20,32,35,65,9,27,12,65,良,O3
235,2014-07-19,33,44,55,10,32,13,55,良,O3
236,2014-07-18,26,36,45,9,25,12,45,优,-
237,2014-07-17,30,37,61,9,27,13,61,良,O3
238,2014-07-16,84,62,59,12,67,21,84,良,PM2.5
239,2014-07-15,57,42,49,8,62,19,62,良,NO2
240,2014-07-14,95,56,117,10,42,21,117,轻度污染,O3
241,2014-07-13,60,46,47,10,45,22,60,良,PM2.5
242,2014-07-12,105,64,95,11,60,24,105,轻度污染,PM2.5
243,2014-07-11,156,88,84,13,70,28,156,中度污染,PM2.5
244,2014-07-10,133,96,130,19,65,30,133,轻度污染,PM2.5
245,2014-07-09,33,42,29,10,27,14,42,优,-
246,2014-07-08,36,35,43,8,30,13,43,优,-
247,2014-07-07,59,49,53,16,49,19,59,良,PM2.5
248,2014-07-06,78,56,71,14,44,22,78,良,PM2.5
249,2014-07-05,45,46,50,8,37,16,50,优,-
250,2014-07-04,63,49,65,13,45,18,65,良,O3
251,2014-07-03,104,63,86,20,53,28,104,轻度污染,PM2.5
252,2014-07-02,73,53,29,11,60,26,73,良,PM2.5
253,2014-07-01,55,42,39,8,42,16,55,良,PM2.5
254,2014-06-30,85,57,68,13,52,21,85,良,PM2.5
255,2014-06-29,130,79,130,23,67,24,130,轻度污染,PM2.5
256,2014-06-28,124,79,88,18,75,29,124,轻度污染,PM2.5
257,2014-06-27,30,27,36,8,52,19,52,良,NO2
258,2014-06-26,25,18,41,7,58,20,58,良,NO2
259,2014-06-25,32,24,42,8,40,17,42,优,-
260,2014-06-24,69,52,95,11,44,18,95,良,O3
261,2014-06-23,52,43,36,9,49,17,52,良,PM2.5
262,2014-06-22,32,29,45,9,38,14,45,优,-
263,2014-06-21,38,17,36,7,43,16,43,优,-
264,2014-06-20,50,41,41,8,57,19,57,良,NO2
265,2014-06-19,54,47,70,7,29,15,70,良,O3
266,2014-06-18,32,34,59,8,39,14,59,良,O3
267,2014-06-17,52,49,39,8,54,20,54,良,NO2
268,2014-06-16,33,34,48,7,25,14,48,优,-
269,2014-06-15,69,63,65,13,52,17,69,良,PM2.5
270,2014-06-14,124,94,200,22,69,25,200,中度污染,O3
271,2014-06-13,117,87,162,19,64,21,162,中度污染,O3
272,2014-06-12,77,63,83,14,52,18,83,良,O3
273,2014-06-11,40,41,50,10,35,13,50,优,-
274,2014-06-10,40,40,38,8,30,14,40,优,-
275,2014-06-09,45,42,58,7,27,14,58,良,O3
276,2014-06-08,57,42,50,8,29,14,57,良,PM2.5
277,2014-06-07,78,59,106,10,37,16,106,轻度污染,O3
278,2014-06-06,68,55,67,12,45,16,68,良,PM2.5
279,2014-06-05,54,49,54,11,49,17,54,良,PM2.5
280,2014-06-04,80,61,48,18,50,21,80,良,PM2.5
281,2014-06-03,60,53,49,16,45,19,60,良,PM2.5
282,2014-06-02,67,45,50,10,33,21,67,良,PM2.5
283,2014-06-01,30,27,50,6,22,13,50,优,-
284,2014-05-31,59,64,90,13,24,13,90,良,O3
285,2014-05-30,114,105,122,29,73,19,122,轻度污染,O3
286,2014-05-29,117,121,129,30,85,22,129,轻度污染,O3
287,2014-05-28,139,115,120,34,84,23,139,轻度污染,PM2.5
288,2014-05-27,190,147,129,26,88,26,190,中度污染,PM2.5
289,2014-05-26,152,129,104,22,65,25,152,中度污染,PM2.5
290,2014-05-25,114,75,43,15,65,26,114,轻度污染,PM2.5
291,2014-05-24,32,40,54,8,24,11,54,良,O3
292,2014-05-23,36,37,64,8,29,11,64,良,O3
293,2014-05-22,90,61,95,12,39,15,95,良,O3
294,2014-05-21,134,90,160,20,58,23,160,中度污染,O3
295,2014-05-20,89,58,78,14,58,20,89,良,PM2.5
296,2014-05-19,59,48,46,7,48,16,59,良,PM2.5
297,2014-05-18,40,43,61,8,34,14,61,良,O3
298,2014-05-17,75,51,75,7,34,16,75,良,PM2.5
299,2014-05-16,75,77,96,17,63,17,96,良,O3
300,2014-05-15,74,75,100,19,59,19,100,良,O3
301,2014-05-14,94,61,151,21,64,26,151,中度污染,O3
302,2014-05-13,77,66,90,18,55,18,90,良,O3
303,2014-05-12,110,75,111,23,69,26,111,轻度污染,O3
304,2014-05-11,58,43,30,10,42,20,58,良,PM2.5
305,2014-05-10,54,45,48,7,30,14,54,良,PM2.5
306,2014-05-09,65,56,68,11,47,16,68,良,O3
307,2014-05-08,94,79,106,22,70,21,106,轻度污染,O3
308,2014-05-07,58,67,95,17,52,15,95,良,O3
309,2014-05-06,52,69,88,15,50,13,88,良,O3
